employee_id,employee_name,email,department,designation,location,gender,age,marital_status,education,joining_date,experience_years,total_experience,previous_company,salary_lpa,bonus_lpa,performance_rating,last_appraisal_percent,satisfaction_score,attrition_status,attrition_reason,projects_handled,overtime_hours_monthly,work_from_home_days,leaves_taken,exact_salary,monthly_salary,attrtion_status
1019,Anil Ahmed,anil.ahmed1019@srijanrealty.com,Sales,Sales Manager,Joka,Male,40,Married,M.Com,2018-07-19 00:00:00,6,9,PS Group,14.0,1.4,3.2,11,4.3,Active,N/A - Active,16.0,19.0,2.0,22.0,1400000,116666,Active
1020,Ishita Biswas,ishita.biswas1020@srijanrealty.com,Marketing,Brand Manager,Ballygunge,Female,41,Single,BCA,2019-08-20 00:00:00,5,9,Siddha Group,18.0,1.8,3.3,11,4.4,Active,N/A - Active,16.0,22.0,3.0,23.0,1800000,150000,Active
1021,Rajesh Singh,rajesh.singh1021@srijanrealty.com,Construction,Civil Engineer,Lake Town,Male,42,Married,MCA,2020-09-21 00:00:00,4,4,Merlin Group,11.0,1.1,3.4,11,4.5,Active,N/A - Active,16.0,25.0,4.0,4.0,1100000,91666,Active
1022,Meena Roy,meena.roy1022@srijanrealty.com,HR,Recruiter,Jadavpur,Female,43,Single,LLB,2021-10-22 00:00:00,3,4,Unimark,6.5,0.65,3.5,12,4.6,Active,N/A - Active,16.0,28.0,5.0,5.0,650000,54166,Active
1023,Subham Mehta,subham.mehta1023@srijanrealty.com,Finance,Finance Analyst,Howrah,Male,44,Married,B.Com,2022-11-23 00:00:00,2,4,TCS,12.0,1.2,3.6,12,4.7,Active,N/A - Active,16.0,31.0,6.0,6.0,1200000,100000,Active
1024,Tanvi Gupta,tanvi.gupta1024@srijanrealty.com,IT,BI Developer,Digha,Female,45,Single,B.Tech,2023-12-24 00:00:00,1,4,Infosys,16.0,1.6,3.7,12,4.8,Active,N/A - Active,16.0,34.0,7.0,7.0,1600000,133333,Active
1025,Aakash Agarwal,aakash.agarwal1025@srijanrealty.com,Customer Service,Support Executive,Kolkata,Male,46,Married,M.Tech,2016-01-25 00:00:00,9,13,Wipro,2.5,0.25,3.8,12,4.9,Left,Relocation,16.0,37.0,8.0,8.0,250000,20833,Left
1026,Sunita Sen,sunita.sen1026@srijanrealty.com,Legal,Legal Advisor,New Town,Female,47,Single,MBA,2017-02-26 00:00:00,8,8,L&T,6.5,0.65,3.9,12,2.5,Active,N/A - Active,16.0,40.0,9.0,9.0,650000,54166,Active
1027,Mohit Mondal,mohit.mondal1027@srijanrealty.com,Operations,Operations Head,Rajarhat,Male,48,Married,BBA,2018-03-27 00:00:00,7,8,Godrej Properties,10.5,1.05,4.0,13,2.6,Active,N/A - Active,16.0,43.0,10.0,10.0,1050000,87500,Active
1028,Riya Choudhury,riya.choudhury1028@srijanrealty.com,Sales,Senior Sales Executive,Asansol,Female,49,Single,Diploma Civil,2019-04-28 00:00:00,6,8,DLF,11.0,1.1,4.1,13,2.7,Left,N/A - Active,16.0,6.0,11.0,11.0,1100000,91666,Left
1029,Binoy Dutta,binoy.dutta1029@srijanrealty.com,Marketing,Marketing Manager,Behala,Male,22,Single,B.Arch,2020-05-01 00:00:00,5,8,Prestige Group,13.0,1.3,4.2,13,2.8,Active,N/A - Active,16.0,9.0,12.0,12.0,1300000,108333,Active
1030,Nisha Bose,nisha.bose1030@srijanrealty.com,Construction,Project Manager,Dumdum,Female,23,Single,M.Com,2021-06-02 00:00:00,3,7,Brigade Group,22.0,2.2,4.3,13,2.9,Active,N/A - Active,16.0,12.0,13.0,13.0,2200000,183333,Active
1031,Abhishek Patil,abhishek.patil1031@srijanrealty.com,HR,HR Intern,Joka,Male,24,Single,BCA,2022-07-03 00:00:00,2,2,Ambuja Neotia,3.5,0.35,4.4,13,3.0,Active,N/A - Active,16.0,15.0,14.0,14.0,350000,29166,Active
1032,Sweta Chakraborty,sweta.chakraborty1032@srijanrealty.com,Finance,Accountant,Ballygunge,Female,25,Single,MCA,2023-08-04 00:00:00,1,2,PS Group,9.0,0.9,4.5,14,3.1,Active,N/A - Active,16.0,18.0,15.0,15.0,900000,75000,Active
1033,Debashis Kumari,debashis.kumari1033@srijanrealty.com,IT,Data Analyst,Lake Town,Male,26,Single,LLB,2016-09-05 00:00:00,8,10,Siddha Group,11.0,1.1,4.6,14,3.2,Active,N/A - Active,16.0,21.0,0.0,16.0,1100000,91666,Active
1034,Monalisa Mitra,monalisa.mitra1034@srijanrealty.com,Customer Service,Senior Support,Jadavpur,Female,27,Single,B.Com,2017-10-06 00:00:00,7,10,Merlin Group,6.5,0.65,4.7,14,3.3,Active,N/A - Active,16.0,24.0,1.0,17.0,650000,54166,Active
1035,Sayan Paul,sayan.paul1035@srijanrealty.com,Legal,Legal Advisor,Howrah,Male,28,Single,B.Tech,2018-11-07 00:00:00,6,10,Unimark,7.0,0.7,4.8,14,3.4,Active,N/A - Active,16.0,27.0,2.0,18.0,700000,58333,Active
1036,Payel Adhikari,payel.adhikari1036@srijanrealty.com,Operations,Operations Head,Digha,Female,29,Single,M.Tech,2019-12-08 00:00:00,5,5,TCS,11.0,1.1,4.9,14,3.5,Active,N/A - Active,16.0,30.0,3.0,19.0,1100000,91666,Active
1037,Indranil Chatterjee,indranil.chatterjee1037@srijanrealty.com,Sales,Sales Executive,Kolkata,Male,30,Married,MBA,2020-01-09 00:00:00,5,6,Infosys,6.0,0.6,3.2,11,3.6,Left,Low Salary,16.0,33.0,4.0,20.0,600000,50000,Left
1038,Soma Khan,soma.khan1038@srijanrealty.com,Marketing,Content Strategist,New Town,Female,31,Single,BBA,2021-02-10 00:00:00,4,6,Wipro,10.0,1.0,3.3,11,3.7,Active,N/A - Active,16.0,36.0,5.0,21.0,1000000,83333,Active
1039,Bikram Saha,bikram.saha1039@srijanrealty.com,Construction,Civil Engineer,Rajarhat,Male,32,Married,Diploma Civil,2022-03-11 00:00:00,3,6,L&T,12.0,1.2,3.4,11,3.8,Active,N/A - Active,16.0,39.0,6.0,22.0,1200000,100000,Active
1040,Tania Sharma,tania.sharma1040@srijanrealty.com,HR,HR Head,Asansol,Female,33,Single,B.Arch,2023-04-12 00:00:00,2,6,Godrej Properties,18.0,1.8,3.5,12,3.9,Active,N/A - Active,16.0,42.0,7.0,23.0,1800000,150000,Active
1041,Soumik Das,soumik.das1041@srijanrealty.com,Finance,Junior Accountant,Behala,Male,34,Married,M.Com,2016-05-13 00:00:00,9,9,DLF,4.0,0.4,3.6,12,4.0,Active,N/A - Active,16.0,5.0,8.0,4.0,400000,33333,Active
1042,Poulami Kumar,poulami.kumar1042@srijanrealty.com,IT,Software Developer,Dumdum,Female,35,Single,BCA,2017-06-14 00:00:00,7,8,Prestige Group,8.0,0.8,3.7,12,4.1,Active,N/A - Active,16.0,8.0,9.0,5.0,800000,66666,Active
1043,Arnab Ghosh,arnab.ghosh1043@srijanrealty.com,Customer Service,Team Lead,Joka,Male,36,Married,MCA,2018-07-15 00:00:00,6,8,Brigade Group,10.5,1.05,3.8,12,4.2,Active,N/A - Active,16.0,11.0,10.0,6.0,1050000,87500,Active
1044,Sraboni Banerjee,sraboni.banerjee1044@srijanrealty.com,Legal,Legal Advisor,Ballygunge,Female,37,Single,LLB,2019-08-16 00:00:00,5,8,Ambuja Neotia,7.5,0.75,3.9,12,4.3,Active,N/A - Active,16.0,14.0,11.0,7.0,750000,62500,Active
1045,Joy Patel,joy.patel1045@srijanrealty.com,Operations,Operations Head,Lake Town,Male,38,Married,B.Com,2020-09-17 00:00:00,4,8,PS Group,9.5,0.95,4.0,13,4.4,Active,N/A - Active,16.0,17.0,12.0,8.0,950000,79166,Active
1046,Moumita Tiwari,moumita.tiwari1046@srijanrealty.com,Sales,Sales Intern,Jadavpur,Female,39,Single,B.Tech,2021-10-18 00:00:00,3,3,Siddha Group,3.0,0.3,4.1,13,4.5,Active,N/A - Active,16.0,20.0,13.0,9.0,300000,25000,Active
1047,Prosenjit Yadav,prosenjit.yadav1047@srijanrealty.com,Marketing,Digital Marketing Exec,Howrah,Male,40,Married,M.Tech,2022-11-19 00:00:00,2,3,Merlin Group,7.0,0.7,4.2,13,4.6,Active,N/A - Active,16.0,23.0,14.0,10.0,700000,58333,Active
1048,Ananya Malhotra,ananya.malhotra1048@srijanrealty.com,Construction,Project Manager,Digha,Female,41,Single,MBA,2023-12-20 00:00:00,1,3,Unimark,23.0,2.3,4.3,13,4.7,Active,N/A - Active,16.0,26.0,15.0,11.0,2300000,191666,Active
1049,Sudipta Verma,sudipta.verma1049@srijanrealty.com,HR,HR Manager,Kolkata,Male,42,Married,BBA,2016-01-21 00:00:00,9,12,TCS,13.0,1.3,4.4,13,4.8,Left,N/A - Active,16.0,29.0,0.0,12.0,1300000,108333,Left
1050,Rupam Jain,rupam.jain1050@srijanrealty.com,Finance,CFO,New Town,Male,43,Single,Diploma Civil,2017-02-22 00:00:00,8,12,Infosys,18.5,1.85,4.5,14,4.9,Active,N/A - Active,16.0,32.0,1.0,13.0,1850000,154166,Active
1051,Amit Srivastava,amit.srivastava1051@srijanrealty.com,IT,IT Support,Rajarhat,Male,44,Married,B.Arch,2018-03-23 00:00:00,7,7,Wipro,5.0,0.5,4.6,14,2.5,Active,N/A - Active,16.0,35.0,2.0,14.0,500000,41666,Active
1052,Priya Thomas,priya.thomas1052@srijanrealty.com,Customer Service,Customer Success Manager,Asansol,Female,45,Single,M.Com,2019-04-24 00:00:00,6,7,L&T,14.5,1.45,4.7,14,2.6,Left,Work Pressure,16.0,38.0,3.0,15.0,1450000,120833,Left
1053,Rahul Mukherjee,rahul.mukherjee1053@srijanrealty.com,Legal,Legal Advisor,Behala,Male,46,Married,BCA,2020-05-25 00:00:00,5,7,Godrej Properties,6.0,0.6,4.8,14,2.7,Active,N/A - Active,16.0,41.0,4.0,16.0,600000,50000,Active
1054,Sneha Sarkar,sneha.sarkar1054@srijanrealty.com,Operations,Operations Head,Dumdum,Female,47,Single,MCA,2021-06-26 00:00:00,3,6,DLF,10.0,1.0,4.9,14,2.8,Active,N/A - Active,16.0,44.0,5.0,17.0,1000000,83333,Active
1055,Vikash Bhattacharjee,vikash.bhattacharjee1055@srijanrealty.com,Sales,Regional Sales Head,Joka,Male,48,Married,LLB,2022-07-27 00:00:00,2,6,Prestige Group,17.5,1.75,3.2,11,2.9,Left,Personal,16.0,7.0,6.0,18.0,1750000,145833,Left
1056,Anjali De,anjali.de1056@srijanrealty.com,Marketing,Marketing Intern,Ballygunge,Female,49,Single,B.Com,2023-08-28 00:00:00,1,1,Brigade Group,4.0,0.4,3.3,11,3.0,Active,N/A - Active,16.0,10.0,7.0,19.0,400000,33333,Active
1057,Sourav Majumdar,sourav.majumdar1057@srijanrealty.com,Construction,Civil Engineer,Lake Town,Male,22,Single,B.Tech,2016-09-01 00:00:00,8,9,Ambuja Neotia,11.0,1.1,3.4,11,3.1,Active,N/A - Active,16.0,13.0,8.0,20.0,1100000,91666,Active
1058,Neha Ahmed,neha.ahmed1058@srijanrealty.com,HR,HR Executive,Jadavpur,Female,23,Single,M.Tech,2017-10-02 00:00:00,7,9,PS Group,10.0,1.0,3.5,12,3.2,Active,N/A - Active,16.0,16.0,9.0,21.0,1000000,83333,Active
1059,Rohan Biswas,rohan.biswas1059@srijanrealty.com,Finance,Finance Manager,Howrah,Male,24,Single,MBA,2018-11-03 00:00:00,6,9,Siddha Group,15.5,1.55,3.6,12,3.3,Active,N/A - Active,16.0,19.0,10.0,22.0,1550000,129166,Active
1060,Pooja Singh,pooja.singh1060@srijanrealty.com,IT,IT Manager,Digha,Female,25,Single,BBA,2019-12-04 00:00:00,5,9,Merlin Group,19.5,1.95,3.7,12,3.4,Active,N/A - Active,16.0,22.0,11.0,23.0,1950000,162500,Active
1061,Arjun Roy,arjun.roy1061@srijanrealty.com,Customer Service,Support Executive,Kolkata,Male,26,Single,Diploma Civil,2020-01-05 00:00:00,5,5,Unimark,2.5,0.25,3.8,12,3.5,Left,Career Growth,16.0,25.0,12.0,4.0,250000,20833,Left
1062,Kavita Mehta,kavita.mehta1062@srijanrealty.com,Legal,Legal Advisor,New Town,Female,27,Single,B.Arch,2021-02-06 00:00:00,4,5,TCS,6.5,0.65,3.9,12,3.6,Active,N/A - Active,16.0,28.0,13.0,5.0,650000,54166,Active
1063,Manish Gupta,manish.gupta1063@srijanrealty.com,Operations,Operations Head,Rajarhat,Male,28,Single,M.Com,2022-03-07 00:00:00,3,5,Infosys,10.5,1.05,4.0,13,3.7,Active,N/A - Active,16.0,31.0,14.0,6.0,1050000,87500,Active
1064,Ritu Agarwal,ritu.agarwal1064@srijanrealty.com,Sales,Sales Manager,Asansol,Female,29,Single,BCA,2023-04-08 00:00:00,2,5,Wipro,14.5,1.45,4.1,13,3.8,Active,N/A - Active,16.0,34.0,15.0,7.0,1450000,120833,Active
1065,Sanjay Sen,sanjay.sen1065@srijanrealty.com,Marketing,Brand Manager,Behala,Male,30,Married,MCA,2016-05-09 00:00:00,9,13,L&T,16.5,1.65,4.2,13,3.9,Active,N/A - Active,16.0,37.0,0.0,8.0,1650000,137500,Active
1066,Deepa Mondal,deepa.mondal1066@srijanrealty.com,Construction,Project Manager,Dumdum,Female,31,Single,LLB,2017-06-10 00:00:00,7,7,Godrej Properties,22.0,2.2,4.3,13,4.0,Active,N/A - Active,16.0,40.0,1.0,9.0,2200000,183333,Active
1067,Karan Choudhury,karan.choudhury1067@srijanrealty.com,HR,Recruiter,Joka,Male,32,Married,B.Com,2018-07-11 00:00:00,6,7,DLF,7.0,0.7,4.4,13,4.1,Active,N/A - Active,16.0,43.0,2.0,10.0,700000,58333,Active
1068,Shreya Dutta,shreya.dutta1068@srijanrealty.com,Finance,Finance Analyst,Ballygunge,Female,33,Single,B.Tech,2019-08-12 00:00:00,5,7,Prestige Group,12.5,1.25,4.5,14,4.2,Active,N/A - Active,16.0,6.0,3.0,11.0,1250000,104166,Active
1069,Anil Bose,anil.bose1069@srijanrealty.com,IT,BI Developer,Lake Town,Male,34,Married,M.Tech,2020-09-13 00:00:00,4,7,Brigade Group,14.5,1.45,4.6,14,4.3,Active,N/A - Active,16.0,9.0,4.0,12.0,1450000,120833,Active
1070,Ishita Patil,ishita.patil1070@srijanrealty.com,Customer Service,Senior Support,Jadavpur,Female,35,Single,MBA,2021-10-14 00:00:00,3,7,Ambuja Neotia,6.5,0.65,4.7,14,4.4,Active,N/A - Active,16.0,12.0,5.0,13.0,650000,54166,Active
1071,Rajesh Chakraborty,rajesh.chakraborty1071@srijanrealty.com,Legal,Legal Advisor,Howrah,Male,36,Married,BBA,2022-11-15 00:00:00,2,2,PS Group,7.0,0.7,4.8,14,4.5,Active,N/A - Active,16.0,15.0,6.0,14.0,700000,58333,Active
1072,Meena Kumari,meena.kumari1072@srijanrealty.com,Operations,Operations Head,Digha,Female,37,Single,Diploma Civil,2023-12-16 00:00:00,1,2,Siddha Group,11.0,1.1,4.9,14,4.6,Active,N/A - Active,16.0,18.0,7.0,15.0,1100000,91666,Active
1073,Subham Mitra,subham.mitra1073@srijanrealty.com,Sales,Senior Sales Executive,Kolkata,Male,38,Married,B.Arch,2016-01-17 00:00:00,9,11,Merlin Group,9.5,0.95,3.2,11,4.7,Left,Work Pressure,16.0,21.0,8.0,16.0,950000,79166,Left
1074,Tanvi Paul,tanvi.paul1074@srijanrealty.com,Marketing,Marketing Manager,New Town,Female,39,Single,M.Com,2017-02-18 00:00:00,8,11,Unimark,13.5,1.35,3.3,11,4.8,Active,N/A - Active,16.0,24.0,9.0,17.0,1350000,112500,Active
1075,Aakash Adhikari,aakash.adhikari1075@srijanrealty.com,Construction,Civil Engineer,Rajarhat,Male,40,Married,BCA,2018-03-19 00:00:00,7,11,TCS,12.0,1.2,3.4,11,4.9,Active,N/A - Active,16.0,27.0,10.0,18.0,1200000,100000,Active
1076,Sunita Chatterjee,sunita.chatterjee1076@srijanrealty.com,HR,HR Intern,Asansol,Female,41,Single,MCA,2019-04-20 00:00:00,6,6,Infosys,4.0,0.4,3.5,12,2.5,Left,Personal,16.0,30.0,11.0,19.0,400000,33333,Left
1077,Mohit Khan,mohit.khan1077@srijanrealty.com,Finance,Accountant,Behala,Male,42,Married,LLB,2020-05-21 00:00:00,5,6,Wipro,7.5,0.75,3.6,12,2.6,Active,N/A - Active,16.0,33.0,12.0,20.0,750000,62500,Active
1078,Riya Saha,riya.saha1078@srijanrealty.com,IT,Data Analyst,Dumdum,Female,43,Single,B.Com,2021-06-22 00:00:00,3,5,L&T,11.5,1.15,3.7,12,2.7,Active,N/A - Active,16.0,36.0,13.0,21.0,1150000,95833,Active
1079,Binoy Sharma,binoy.sharma1079@srijanrealty.com,Customer Service,Team Lead,Joka,Male,44,Married,B.Tech,2022-07-23 00:00:00,2,5,Godrej Properties,10.5,1.05,3.8,12,2.8,Left,Low Salary,16.0,39.0,14.0,22.0,1050000,87500,Left
1080,Nisha Das,nisha.das1080@srijanrealty.com,Legal,Legal Advisor,Ballygunge,Female,45,Single,M.Tech,2023-08-24 00:00:00,1,5,DLF,7.5,0.75,3.9,12,2.9,Active,N/A - Active,16.0,42.0,15.0,23.0,750000,62500,Active
1081,Abhishek Kumar,abhishek.kumar1081@srijanrealty.com,Operations,Operations Head,Lake Town,Male,46,Married,MBA,2016-09-25 00:00:00,8,8,Prestige Group,9.5,0.95,4.0,13,3.0,Active,N/A - Active,16.0,5.0,0.0,4.0,950000,79166,Active
1082,Sweta Ghosh,sweta.ghosh1082@srijanrealty.com,Sales,Sales Executive,Jadavpur,Female,47,Single,BBA,2017-10-26 00:00:00,7,8,Brigade Group,6.5,0.65,4.1,13,3.1,Active,N/A - Active,16.0,8.0,1.0,5.0,650000,54166,Active
1083,Debashis Banerjee,debashis.banerjee1083@srijanrealty.com,Marketing,Content Strategist,Howrah,Male,48,Married,Diploma Civil,2018-11-27 00:00:00,6,8,Ambuja Neotia,10.5,1.05,4.2,13,3.2,Active,N/A - Active,16.0,11.0,2.0,6.0,1050000,87500,Active
1084,Monalisa Patel,monalisa.patel1084@srijanrealty.com,Construction,Project Manager,Digha,Female,49,Single,B.Arch,2019-12-28 00:00:00,5,8,PS Group,23.0,2.3,4.3,13,3.3,Active,N/A - Active,16.0,14.0,3.0,7.0,2300000,191666,Active
1085,Sayan Tiwari,sayan.tiwari1085@srijanrealty.com,HR,HR Head,Kolkata,Male,22,Single,M.Com,2020-01-01 00:00:00,5,9,Siddha Group,16.5,1.65,4.4,13,3.4,Left,Better Opportunity,16.0,17.0,4.0,8.0,1650000,137500,Left
1086,Payel Yadav,payel.yadav1086@srijanrealty.com,Finance,Junior Accountant,New Town,Female,23,Single,BCA,2021-02-02 00:00:00,4,4,Merlin Group,4.5,0.45,4.5,14,3.5,Active,N/A - Active,16.0,20.0,5.0,9.0,450000,37500,Active
1087,Indranil Malhotra,indranil.malhotra1087@srijanrealty.com,IT,Software Developer,Rajarhat,Male,24,Single,MCA,2022-03-03 00:00:00,3,4,Unimark,8.5,0.85,4.6,14,3.6,Active,N/A - Active,16.0,23.0,6.0,10.0,850000,70833,Active
1088,Soma Verma,soma.verma1088@srijanrealty.com,Customer Service,Customer Success Manager,Asansol,Female,25,Single,LLB,2023-04-04 00:00:00,2,4,TCS,14.5,1.45,4.7,14,3.7,Active,N/A - Active,16.0,26.0,7.0,11.0,1450000,120833,Active
1089,Bikram Jain,bikram.jain1089@srijanrealty.com,Legal,Legal Advisor,Behala,Male,26,Single,B.Com,2016-05-05 00:00:00,9,12,Infosys,6.0,0.6,4.8,14,3.8,Active,N/A - Active,16.0,29.0,8.0,12.0,600000,50000,Active
1090,Tania Srivastava,tania.srivastava1090@srijanrealty.com,Operations,Operations Head,Dumdum,Female,27,Single,B.Tech,2017-06-06 00:00:00,7,11,Wipro,10.0,1.0,4.9,14,3.9,Active,N/A - Active,16.0,32.0,9.0,13.0,1000000,83333,Active
1091,Soumik Thomas,soumik.thomas1091@srijanrealty.com,Sales,Sales Intern,Joka,Male,28,Single,M.Tech,2018-07-07 00:00:00,6,6,L&T,3.5,0.35,3.2,11,4.0,Active,N/A - Active,16.0,35.0,10.0,14.0,350000,29166,Active
1092,Poulami Mukherjee,poulami.mukherjee1092@srijanrealty.com,Marketing,Digital Marketing Exec,Ballygunge,Female,29,Single,MBA,2019-08-08 00:00:00,5,6,Godrej Properties,7.5,0.75,3.3,11,4.1,Active,N/A - Active,16.0,38.0,11.0,15.0,750000,62500,Active
1093,Arnab Sarkar,arnab.sarkar1093@srijanrealty.com,Construction,Civil Engineer,Lake Town,Male,30,Married,BBA,2020-09-09 00:00:00,4,6,DLF,11.0,1.1,3.4,11,4.2,Active,N/A - Active,16.0,41.0,12.0,16.0,1100000,91666,Active
1094,Sraboni Bhattacharjee,sraboni.bhattacharjee1094@srijanrealty.com,HR,HR Manager,Jadavpur,Female,31,Single,Diploma Civil,2021-10-10 00:00:00,3,6,Prestige Group,13.5,1.35,3.5,12,4.3,Active,N/A - Active,16.0,44.0,13.0,17.0,1350000,112500,Active
1095,Joy De,joy.de1095@srijanrealty.com,Finance,CFO,Howrah,Male,32,Married,B.Arch,2022-11-11 00:00:00,2,6,Brigade Group,19.0,1.9,3.6,12,4.4,Active,N/A - Active,16.0,7.0,14.0,18.0,1900000,158333,Active
1096,Moumita Majumdar,moumita.majumdar1096@srijanrealty.com,IT,IT Support,Digha,Female,33,Single,M.Com,2023-12-12 00:00:00,1,1,Ambuja Neotia,5.5,0.55,3.7,12,4.5,Active,N/A - Active,16.0,10.0,15.0,19.0,550000,45833,Active
1097,Prosenjit Ahmed,prosenjit.ahmed1097@srijanrealty.com,Customer Service,Support Executive,Kolkata,Male,34,Married,BCA,2016-01-13 00:00:00,9,10,PS Group,2.5,0.25,3.8,12,4.6,Left,Personal,16.0,13.0,0.0,20.0,250000,20833,Left
1098,Ananya Biswas,ananya.biswas1098@srijanrealty.com,Legal,Legal Advisor,New Town,Female,35,Single,MCA,2017-02-14 00:00:00,8,10,Siddha Group,6.5,0.65,3.9,12,4.7,Active,N/A - Active,16.0,16.0,1.0,21.0,650000,54166,Active
1099,Sudipta Singh,sudipta.singh1099@srijanrealty.com,Operations,Operations Head,Rajarhat,Male,36,Married,LLB,2018-03-15 00:00:00,7,10,Merlin Group,10.5,1.05,4.0,13,4.8,Active,N/A - Active,16.0,19.0,2.0,22.0,1050000,87500,Active
