Order_ID,Order_Date,Month,Year,Customer_ID,Customer_Name,Product,Category,Location,Region,Salesperson,Quantity,Unit_Price,Discount_Percent,Gross_Sales,Discounted_price,Total_sales,Payment_Mode,Lead_Source,Order_Status,Sales_Category,Lost_Scale
ORD100019,7/23/2025,Jul,2025,CUST14372,Rahul_Sharma,Coffee_Maker,Home_&_Kitchen,Kolkata,East,Amit_Roy,1,13800,10,13800,1380,12420,Cash,Google_Ads,Completed,Medium,Good_Sale
ORD100020,9/3/2025,Sep,2025,CUST10344,Unknown_customer,T-Shirt,Fashion,Jaipur,North,Sneha_Gupta,2,1300,2,2600,52,2548,Credit_Card,Email,Completed,Low,Good_Sale
ORD100021,9/20/2024,Sep,2024,CUST17009,Sourav_Sen,Jeans,Fashion,Bengaluru,South,Vikram_Patel,3,2100,3,6300,189,6111,Net_Banking,Referral,Completed,Low,Good_Sale
ORD100022,10/19/2024,Oct,2024,CUST15812,Ananya_Roy,Dining_Table,Furniture,Ahmedabad,West,Karan_Bose,5,60900,12,304500,36540,267960,Debit_Card,Store_Visit,Cancelled,High,Lost
ORD100023,4/25/2025,Apr,2025,CUST12507,Arjun_Singh,Headphones,Electronics,Bhubaneswar,East,Neha_Singh,1,16600,3,16600,498,16102,Credit_Card,Referral,Returned,Medium,Lost
ORD100024,2/1/2025,Feb,2025,CUST12360,Riya_Ghosh,Cookware_Set,Home_&_Kitchen,Ahmedabad,West,Priya_Sharma,1,9600,15,9600,1440,8160,Credit_Card,Facebook,Completed,Low,Good_Sale
ORD100025,11/8/2025,Nov,2025,CUST10428,Rahul_Sharma,Air_Conditioner,Appliances,Bhubaneswar,East,Neha_Singh,4,70300,0,281200,0,281200,Bank_Transfer,Website,Cancelled,High,Lost
ORD100026,3/10/2026,Mar,2026,CUST11228,Rahul_Sharma,Washing_Machine,Appliances,Kolkata,East,Karan_Bose,5,22300,7,111500,7805,103695,Cash,Store_Visit,Completed,Medium,Good_Sale
ORD100027,3/17/2026,Mar,2026,CUST13039,Priya_Das,Running_Shoes,Fashion,Delhi,North,Karan_Bose,2,8800,0,17600,0,17600,UPI,Instagram,Completed,Medium,Good_Sale
ORD100028,3/23/2024,Mar,2024,CUST17729,Kunal_Mehta,Coffee_Maker,Home_&_Kitchen,Pune,West,Rahul_Das,1,5400,0,5400,0,5400,Cash,Website,Completed,Low,Good_Sale
ORD100029,3/16/2024,Mar,2024,CUST11255,Neha_Das,Jeans,Fashion,Chennai,South,Priya_Sharma,2,2000,15,4000,600,3400,Credit_Card,Instagram,Returned,Low,Lost
ORD100030,5/15/2026,May,2026,CUST12005,Ananya_Roy,Running_Shoes,Fashion,Delhi,North,Sneha_Gupta,2,2000,0,4000,0,4000,UPI,Facebook,Cancelled,Low,Lost
ORD100031,5/27/2024,May,2024,CUST10618,Amit_Kumar,T-Shirt,Fashion,Ahmedabad,West,Riya_Sen,2,1600,20,3200,640,2560,Cash,Facebook,Returned,Low,Lost
ORD100032,5/5/2026,May,2026,CUST14584,Kunal_Mehta,Office_Chair,Furniture,Kolkata,East,Vikram_Patel,1,17800,10,17800,1780,16020,Cash,Google_Ads,Completed,Medium,Good_Sale
ORD100033,12/7/2024,Dec,2024,CUST15574,Neha_Das,Smartphone,Electronics,Bhubaneswar,East,Neha_Singh,1,37800,7,37800,2646,35154,Credit_Card,Referral,Completed,Medium,Good_Sale
ORD100034,8/19/2024,Aug,2024,CUST13323,Sneha_Roy,Jacket,Fashion,Delhi,North,Rahul_Das,5,6600,20,33000,6600,26400,UPI,Store_Visit,Returned,Medium,Lost
ORD100035,8/8/2025,Aug,2025,CUST12430,Riya_Ghosh,Mixer_Grinder,Home_&_Kitchen,Hyderabad,South,Rahul_Das,1,7900,5,7900,395,7505,Debit_Card,Store_Visit,Cancelled,Low,Lost
ORD100036,8/2/2024,Aug,2024,CUST11835,Sourav_Sen,Smartphone,Electronics,Jaipur,North,Karan_Bose,5,50100,5,250500,12525,237975,Credit_Card,Website,Completed,High,Good_Sale
ORD100037,10/8/2024,Oct,2024,CUST12559,Rahul_Sharma,Mixer_Grinder,Home_&_Kitchen,Chennai,South,Sneha_Gupta,2,2200,5,4400,220,4180,Cash,Instagram,Returned,Low,Lost
ORD100038,7/17/2026,Jul,2026,CUST13585,Amit_Kumar,Coffee_Maker,Home_&_Kitchen,Ahmedabad,West,Ananya_Dutta,2,11500,10,23000,2300,20700,Net_Banking,Referral,Completed,Medium,Good_Sale
ORD100039,2/16/2026,Feb,2026,CUST14480,Sneha_Roy,Desk,Furniture,Ahmedabad,West,Rahul_Das,5,15800,15,79000,11850,67150,Debit_Card,Instagram,Completed,Medium,Good_Sale
ORD100040,5/25/2024,May,2024,CUST10994,Neha_Das,Washing_Machine,Appliances,Bhubaneswar,East,Neha_Singh,1,24400,7,24400,1708,22692,Bank_Transfer,Google_Ads,Pending,Medium,Good_Sale
ORD100041,2/27/2026,Feb,2026,CUST14617,Ananya_Roy,Headphones,Electronics,Hyderabad,South,Priya_Sharma,5,17700,3,88500,2655,85845,Bank_Transfer,Phone_Call,Completed,Medium,Good_Sale
ORD100042,3/6/2024,Mar,2024,CUST10140,Kunal_Mehta,Air_Conditioner,Appliances,Bhubaneswar,East,Sneha_Gupta,1,36100,20,36100,7220,28880,Net_Banking,Phone_Call,Returned,Medium,Lost
ORD100043,11/11/2024,Nov,2024,CUST16147,Rahul_Sharma,Microwave,Appliances,Chennai,South,Priya_Sharma,1,9400,10,9400,940,8460,Net_Banking,Google_Ads,Completed,Low,Good_Sale
ORD100044,5/25/2026,May,2026,CUST15260,Neha_Das,Dining_Table,Furniture,Jaipur,North,Arjun_Mehta,2,35600,15,71200,10680,60520,Bank_Transfer,Facebook,Returned,Medium,Lost
ORD100045,1/5/2026,Jan,2026,CUST11266,Arjun_Singh,Smartphone,Electronics,Ahmedabad,West,Ananya_Dutta,2,12600,5,25200,1260,23940,Credit_Card,Email,Cancelled,Medium,Lost
ORD100046,4/12/2025,Apr,2025,CUST14143,Rahul_Sharma,Bookshelf,Furniture,Delhi,North,Amit_Roy,1,4900,2,4900,98,4802,Bank_Transfer,Referral,Completed,Low,Good_Sale
ORD100047,5/12/2025,May,2025,CUST11761,Sourav_Sen,Running_Shoes,Fashion,Pune,West,Priya_Sharma,4,9800,20,39200,7840,31360,Net_Banking,Email,Completed,Medium,Good_Sale
ORD100048,5/3/2026,May,2026,CUST11253,Sneha_Roy,Mixer_Grinder,Home_&_Kitchen,Jaipur,North,Unknown_person,1,3900,12,3900,468,3432,Net_Banking,Google_Ads,Completed,Low,Good_Sale
ORD100049,11/22/2024,Nov,2024,CUST14451,Ananya_Roy,Refrigerator,Appliances,Delhi,North,Amit_Roy,3,45900,3,137700,4131,133569,Bank_Transfer,Email,Completed,Medium,Good_Sale
ORD100050,2/19/2024,Feb,2024,CUST14484,Ananya_Roy,Air_Conditioner,Appliances,Jaipur,North,Karan_Bose,3,73200,15,219600,32940,186660,Bank_Transfer,Facebook,Pending,Medium,Good_Sale
ORD100051,5/22/2024,May,2024,CUST12461,Unknown_customer,Air_Conditioner,Appliances,Delhi,North,Arjun_Mehta,2,63700,0,127400,0,127400,Bank_Transfer,Website,Returned,Medium,Lost
ORD100052,11/19/2025,Nov,2025,CUST10335,Arjun_Singh,Headphones,Electronics,Jaipur,North,Sneha_Gupta,2,1900,20,3800,760,3040,Net_Banking,Facebook,Pending,Low,Good_Sale
ORD100053,11/13/2024,Nov,2024,CUST13543,Sourav_Sen,Dining_Table,Furniture,Ahmedabad,West,Sneha_Gupta,3,32200,10,96600,9660,86940,UPI,Marketplace,Completed,Medium,Good_Sale
ORD100054,10/16/2025,Oct,2025,CUST14518,Ananya_Roy,T-Shirt,Fashion,Delhi,North,Sneha_Gupta,5,1100,10,5500,550,4950,UPI,Marketplace,Completed,Low,Good_Sale
ORD100055,11/9/2025,Nov,2025,CUST13577,Amit_Kumar,T-Shirt,Fashion,Ahmedabad,West,Vikram_Patel,1,800,0,800,0,800,Credit_Card,Referral,Pending,Low,Good_Sale
ORD100056,3/1/2026,Mar,2026,CUST10272,Amit_Kumar,Laptop,Electronics,Delhi,North,Sneha_Gupta,2,73400,2,146800,2936,143864,Net_Banking,Referral,Cancelled,Medium,Lost
ORD100057,5/11/2024,May,2024,CUST13536,Amit_Kumar,Jeans,Fashion,Chennai,South,Sneha_Gupta,2,3100,12,6200,744,5456,Net_Banking,Referral,Pending,Low,Good_Sale
ORD100058,10/29/2024,Oct,2024,CUST13213,Amit_Kumar,Headphones,Electronics,Bhubaneswar,East,Ananya_Dutta,1,15600,10,15600,1560,14040,UPI,Google_Ads,Cancelled,Medium,Lost
ORD100059,12/15/2024,Dec,2024,CUST15142,Arjun_Singh,Microwave,Appliances,Mumbai,West,Arjun_Mehta,5,22200,2,111000,2220,108780,Debit_Card,Marketplace,Cancelled,Medium,Lost
ORD100060,12/27/2024,Dec,2024,CUST15890,Riya_Ghosh,Refrigerator,Appliances,Delhi,North,Sneha_Gupta,2,47600,10,95200,9520,85680,Debit_Card,Google_Ads,Completed,Medium,Good_Sale
ORD100061,2/29/2024,Feb,2024,CUST11900,Neha_Das,Cookware_Set,Home_&_Kitchen,Hyderabad,South,Rahul_Das,2,11700,12,23400,2808,20592,Net_Banking,Google_Ads,Completed,Medium,Good_Sale
ORD100062,5/5/2025,May,2025,CUST16608,Kunal_Mehta,Microwave,Appliances,Bengaluru,South,Arjun_Mehta,1,19800,3,19800,594,19206,Cash,Phone_Call,Returned,Medium,Lost
ORD100063,11/29/2024,Nov,2024,CUST11672,Priya_Das,Dining_Table,Furniture,Kolkata,East,Neha_Singh,2,27300,12,54600,6552,48048,Debit_Card,Phone_Call,Completed,Medium,Good_Sale
ORD100064,6/30/2024,Jun,2024,CUST13463,Arjun_Singh,Bookshelf,Furniture,Hyderabad,South,Neha_Singh,3,6700,20,20100,4020,16080,Credit_Card,Referral,Pending,Medium,Good_Sale
ORD100065,10/24/2024,Oct,2024,CUST11110,Priya_Das,Running_Shoes,Fashion,Mumbai,West,Sneha_Gupta,2,10900,7,21800,1526,20274,Net_Banking,Website,Completed,Medium,Good_Sale
ORD100066,8/3/2024,Aug,2024,CUST17996,Riya_Ghosh,Sofa,Furniture,Delhi,North,Ananya_Dutta,4,38700,3,154800,4644,150156,Net_Banking,Instagram,Pending,Medium,Good_Sale
ORD100067,1/16/2025,Jan,2025,CUST11498,Priya_Das,Cookware_Set,Home_&_Kitchen,Mumbai,West,Riya_Sen,1,10200,20,10200,2040,8160,upi,Store_Visit,Completed,Low,Good_Sale
ORD100068,3/18/2024,Mar,2024,CUST14539,Rahul_Sharma,Dining_Table,Furniture,Kolkata,East,Rahul_Das,1,32200,20,32200,6440,25760,UPI,Facebook,Completed,Medium,Good_Sale
ORD100069,3/20/2025,Mar,2025,CUST17202,Rahul_Sharma,Smartphone,Electronics,Bhubaneswar,East,Karan_Bose,1,27300,7,27300,1911,25389,Debit_Card,Email,Pending,Medium,Good_Sale
ORD100070,12/16/2025,Dec,2025,CUST10788,Arjun_Singh,T-Shirt,Fashion,Bhubaneswar,East,Sneha_Gupta,1,3000,5,3000,150,2850,Net_Banking,Marketplace,Pending,Low,Good_Sale
ORD100071,12/12/2025,Dec,2025,CUST16377,Neha_Das,Air_Conditioner,Appliances,Bengaluru,South,Amit_Roy,4,85200,15,340800,51120,289680,Bank_Transfer,Store_Visit,Completed,High,Good_Sale
ORD100072,9/2/2024,Sep,2024,CUST14968,Riya_Ghosh,Headphones,Electronics,Jaipur,North,Priya_Sharma,4,5700,0,22800,0,22800,Cash,Facebook,Completed,Medium,Good_Sale
ORD100073,8/14/2024,Aug,2024,CUST15729,Sourav_Sen,T-Shirt,Fashion,Hyderabad,South,Rahul_Das,2,1300,3,2600,78,2522,UPI,Phone_Call,Completed,Low,Good_Sale
ORD100074,3/20/2025,Mar,2025,CUST15389,Rahul_Sharma,Tablet,Electronics,Bhubaneswar,East,Priya_Sharma,2,38400,7,76800,5376,71424,Bank_Transfer,Instagram,Returned,Medium,Lost
ORD100075,8/2/2025,Aug,2025,CUST15305,Sneha_Roy,Refrigerator,Appliances,Delhi,North,Riya_Sen,1,34000,10,34000,3400,30600,UPI,Instagram,Pending,Medium,Good_Sale
ORD100076,7/16/2025,Jul,2025,CUST17441,Riya_Ghosh,T-Shirt,Fashion,Mumbai,West,Sneha_Gupta,2,2600,10,5200,520,4680,Bank_Transfer,Marketplace,Completed,Low,Good_Sale
ORD100077,2/19/2024,Feb,2024,CUST17818,Sourav_Sen,Sofa,Furniture,Ahmedabad,West,Rahul_Das,3,79600,5,238800,11940,226860,Net_Banking,Google_Ads,Completed,High,Good_Sale
ORD100078,8/27/2025,Aug,2025,CUST13340,Priya_Das,Office_Chair,Furniture,Mumbai,West,Karan_Bose,3,20200,15,60600,9090,51510,Debit_Card,Store_Visit,Cancelled,Medium,Lost
ORD100079,3/23/2024,Mar,2024,CUST14840,Sourav_Sen,Jacket,Fashion,Jaipur,North,Sneha_Gupta,5,4900,10,24500,2450,22050,Credit_Card,Marketplace,Completed,Medium,Good_Sale
ORD100080,5/17/2024,May,2024,CUST17156,Riya_Ghosh,Refrigerator,Appliances,Hyderabad,South,Ananya_Dutta,2,81800,7,163600,11452,152148,Bank_Transfer,Email,Completed,Medium,Good_Sale
ORD100081,5/17/2024,May,2024,CUST16721,Sneha_Roy,Cookware_Set,Home_&_Kitchen,Hyderabad,South,Riya_Sen,1,8400,20,8400,1680,6720,Credit_Card,Website,Completed,Low,Good_Sale
ORD100082,3/16/2025,Mar,2025,CUST17305,Priya_Das,Running_Shoes,Fashion,Hyderabad,South,Ananya_Dutta,1,3000,0,3000,0,3000,Cash,Google_Ads,Returned,Low,Lost
ORD100083,1/16/2024,Jan,2024,CUST10820,Sneha_Roy,Headphones,Electronics,Ahmedabad,West,Priya_Sharma,3,12000,12,36000,4320,31680,Credit_Card,Google_Ads,Pending,Medium,Good_Sale
ORD100084,5/2/2024,May,2024,CUST16686,Priya_Das,Coffee_Maker,Home_&_Kitchen,Kolkata,East,Karan_Bose,4,13100,20,52400,10480,41920,UPI,Website,Cancelled,Medium,Lost
ORD100085,2/8/2025,Feb,2025,CUST13283,Sourav_Sen,Washing_Machine,Appliances,Ahmedabad,West,Sneha_Gupta,2,22700,10,45400,4540,40860,Net_Banking,Website,Returned,Medium,Lost
ORD100086,6/25/2025,Jun,2025,CUST11971,Neha_Das,Microwave,Appliances,Ahmedabad,West,Priya_Sharma,5,15600,10,78000,7800,70200,Credit_Card,Referral,Completed,Medium,Good_Sale
ORD100087,12/29/2024,Dec,2024,CUST10285,Sneha_Roy,Smartphone,Electronics,Jaipur,North,Rahul_Das,1,53600,5,53600,2680,50920,Credit_Card,Facebook,Pending,Medium,Good_Sale
ORD100088,4/13/2024,Apr,2024,CUST17337,Kunal_Mehta,Sofa,Furniture,Bhubaneswar,East,Priya_Sharma,1,20600,3,20600,618,19982,Debit_Card,Facebook,Completed,Medium,Good_Sale
ORD100089,9/20/2025,Sep,2025,CUST10062,Neha_Das,Air_Conditioner,Appliances,Ahmedabad,West,Riya_Sen,3,45300,7,135900,9513,126387,UPI,Store_Visit,Cancelled,Medium,Lost
ORD100090,8/5/2026,Aug,2026,CUST10654,Priya_Das,Coffee_Maker,Home_&_Kitchen,Chennai,South,Sneha_Gupta,1,2800,20,2800,560,2240,Cash,Email,Completed,Low,Good_Sale
ORD100091,12/30/2024,Dec,2024,CUST12408,Sneha_Roy,Running_Shoes,Fashion,Hyderabad,South,Amit_Roy,1,2500,7,2500,175,2325,Credit_Card,Phone_Call,Completed,Low,Good_Sale
ORD100092,5/4/2026,May,2026,CUST10863,Sneha_Roy,Coffee_Maker,Home_&_Kitchen,Bengaluru,South,Ananya_Dutta,3,10500,2,31500,630,30870,Cash,Referral,Pending,Medium,Good_Sale
ORD100093,7/31/2025,Jul,2025,CUST14088,Rahul_Sharma,Coffee_Maker,Home_&_Kitchen,Jaipur,North,Ananya_Dutta,2,12400,7,24800,1736,23064,Net_Banking,Facebook,Completed,Medium,Good_Sale
ORD100094,8/11/2025,Aug,2025,CUST17088,Ananya_Roy,Dining_Table,Furniture,Bengaluru,South,Vikram_Patel,2,55400,0,110800,0,110800,Bank_Transfer,Website,Completed,Medium,Good_Sale
ORD100095,10/18/2024,Oct,2024,CUST12322,Kunal_Mehta,Mixer_Grinder,Home_&_Kitchen,Chennai,South,Vikram_Patel,3,6800,20,20400,4080,16320,Net_Banking,Instagram,Completed,Medium,Good_Sale
ORD100096,2/14/2025,Feb,2025,CUST12228,Ananya_Roy,Desk,Furniture,Kolkata,East,Vikram_Patel,2,28200,7,56400,3948,52452,Debit_Card,Marketplace,Completed,Medium,Good_Sale
ORD100097,10/26/2025,Oct,2025,CUST11110,Sourav_Sen,Office_Chair,Furniture,Bengaluru,South,Amit_Roy,2,11800,2,23600,472,23128,Debit_Card,Marketplace,Pending,Medium,Good_Sale
ORD100098,4/23/2025,Apr,2025,CUST10890,Sourav_Sen,Refrigerator,Appliances,Mumbai,West,Priya_Sharma,2,27600,10,55200,5520,49680,UPI,Google_Ads,Completed,Medium,Good_Sale
ORD100099,9/17/2024,Sep,2024,CUST11318,Priya_Das,Washing_Machine,Appliances,Hyderabad,South,Sneha_Gupta,2,26500,7,53000,3710,49290,Credit_Card,Store_Visit,Cancelled,Medium,Lost
ORD100100,4/19/2025,Apr,2025,CUST17731,Kunal_Mehta,Tablet,Electronics,Chennai,South,Ananya_Dutta,3,47800,7,143400,10038,133362,Cash,Store_Visit,Returned,Medium,Lost
ORD100101,1/21/2024,Jan,2024,CUST16661,Sneha_Roy,Coffee_Maker,Home_&_Kitchen,Ahmedabad,West,Priya_Sharma,2,14100,10,28200,2820,25380,Cash,Instagram,Returned,Medium,Lost
ORD100102,12/9/2025,Dec,2025,CUST10864,Ananya_Roy,Headphones,Electronics,Hyderabad,South,Karan_Bose,2,15500,20,31000,6200,24800,Net_Banking,Email,Cancelled,Medium,Lost
ORD100103,6/15/2024,Jun,2024,CUST15323,Amit_Kumar,Coffee_Maker,Home_&_Kitchen,Delhi,North,Amit_Roy,2,11300,15,22600,3390,19210,UPI,Referral,Returned,Medium,Lost
ORD100104,2/2/2024,Feb,2024,CUST11525,Riya_Ghosh,Laptop,Electronics,Chennai,South,Karan_Bose,1,49600,3,49600,1488,48112,UPI,Phone_Call,Returned,Medium,Lost
ORD100105,3/4/2026,Mar,2026,CUST15600,Priya_Das,Air_Conditioner,Appliances,Kolkata,East,Rahul_Das,1,57000,3,57000,1710,55290,Debit_Card,Phone_Call,Returned,Medium,Lost
ORD100106,4/10/2025,Apr,2025,CUST13922,Neha_Das,Air_Conditioner,Appliances,Jaipur,North,Priya_Sharma,1,63500,20,63500,12700,50800,Net_Banking,Email,Completed,Medium,Good_Sale
ORD100107,12/16/2025,Dec,2025,CUST16452,Riya_Ghosh,Air_Conditioner,Appliances,Ahmedabad,West,Neha_Singh,1,74700,10,74700,7470,67230,Net_Banking,Marketplace,Returned,Medium,Lost
ORD100108,12/10/2024,Dec,2024,CUST10098,Sneha_Roy,Refrigerator,Appliances,Mumbai,West,Rahul_Das,2,39200,0,78400,0,78400,Debit_Card,Website,Completed,Medium,Good_Sale
ORD100109,5/14/2026,May,2026,CUST14490,Riya_Ghosh,T-Shirt,Fashion,Mumbai,West,Ananya_Dutta,5,2600,7,13000,910,12090,Net_Banking,Website,Returned,Medium,Lost
ORD100110,8/21/2025,Aug,2025,CUST13758,Arjun_Singh,Microwave,Appliances,Kolkata,East,Karan_Bose,5,8700,2,43500,870,42630,Debit_Card,Google_Ads,Pending,Medium,Good_Sale
ORD100111,1/8/2024,Jan,2024,CUST11905,Arjun_Singh,Desk,Furniture,Bengaluru,South,Rahul_Das,4,24100,0,96400,0,96400,UPI,Google_Ads,Pending,Medium,Good_Sale
ORD100112,8/23/2024,Aug,2024,CUST17581,Unknown_customer,Air_Conditioner,Appliances,Kolkata,East,Sneha_Gupta,2,70600,2,141200,2824,138376,Cash,Website,Returned,Medium,Lost
ORD100113,8/24/2025,Aug,2025,CUST17296,Kunal_Mehta,Jacket,Fashion,Bhubaneswar,East,Riya_Sen,1,4600,3,4600,138,4462,Debit_Card,Instagram,Completed,Low,Good_Sale
ORD100114,3/25/2026,Mar,2026,CUST13262,Sourav_Sen,T-Shirt,Fashion,Delhi,North,Neha_Singh,1,1700,0,1700,0,1700,Cash,Referral,Returned,Low,Lost
ORD100115,12/3/2025,Dec,2025,CUST16597,Arjun_Singh,Jeans,Fashion,Pune,West,Neha_Singh,4,4100,15,16400,2460,13940,Net_Banking,Marketplace,Completed,Medium,Good_Sale
ORD100116,10/6/2025,Oct,2025,CUST13389,Ananya_Roy,Jacket,Fashion,Chennai,South,Rahul_Das,5,7400,5,37000,1850,35150,UPI,Marketplace,Completed,Medium,Good_Sale
ORD100117,2/7/2025,Feb,2025,CUST17376,Arjun_Singh,Laptop,Electronics,Mumbai,West,Riya_Sen,5,86800,7,434000,30380,403620,Net_Banking,Referral,Completed,High,Good_Sale
ORD100118,9/1/2024,Sep,2024,CUST10013,Sneha_Roy,Tablet,Electronics,Jaipur,North,Arjun_Mehta,2,36000,15,72000,10800,61200,Bank_Transfer,Google_Ads,Completed,Medium,Good_Sale
ORD100119,10/3/2024,Oct,2024,CUST13988,Ananya_Roy,Office_Chair,Furniture,Delhi,North,Ananya_Dutta,2,11700,15,23400,3510,19890,Credit_Card,Email,Returned,Medium,Lost
ORD100120,8/11/2024,Aug,2024,CUST10027,Arjun_Singh,Tablet,Electronics,Jaipur,North,Rahul_Das,2,35000,15,70000,10500,59500,Credit_Card,Instagram,Cancelled,Medium,Lost
ORD100121,2/9/2024,Feb,2024,CUST13941,Priya_Das,Running_Shoes,Fashion,Ahmedabad,West,Arjun_Mehta,1,4500,2,4500,90,4410,Net_Banking,Referral,Completed,Low,Good_Sale
ORD100122,7/6/2025,Jul,2025,CUST15348,Priya_Das,Refrigerator,Appliances,Pune,West,Arjun_Mehta,1,65000,12,65000,7800,57200,Credit_Card,Google_Ads,Cancelled,Medium,Lost
ORD100123,7/8/2025,Jul,2025,CUST10358,Sourav_Sen,Refrigerator,Appliances,Jaipur,North,Amit_Roy,1,79200,20,79200,15840,63360,Debit_Card,Marketplace,Returned,Medium,Lost
ORD100124,5/24/2024,May,2024,CUST17027,Ananya_Roy,T-Shirt,Fashion,Hyderabad,South,Amit_Roy,3,2900,0,8700,0,8700,UPI,Email,Completed,Low,Good_Sale
ORD100125,6/5/2026,Jun,2026,CUST12039,Riya_Ghosh,Mixer_Grinder,Home_&_Kitchen,Mumbai,West,Sneha_Gupta,1,8800,15,8800,1320,7480,Credit_Card,Facebook,Completed,Low,Good_Sale
ORD100126,8/8/2025,Aug,2025,CUST10164,Neha_Das,Jacket,Fashion,Delhi,North,Vikram_Patel,3,7900,15,23700,3555,20145,UPI,Phone_Call,Pending,Medium,Good_Sale
ORD100127,11/21/2024,Nov,2024,CUST11608,Sneha_Roy,Smartphone,Electronics,Bhubaneswar,East,Riya_Sen,2,53600,15,107200,16080,91120,Net_Banking,Email,Completed,Medium,Good_Sale
ORD100128,1/10/2024,Jan,2024,CUST12869,Arjun_Singh,Air_Conditioner,Appliances,Hyderabad,South,Ananya_Dutta,4,87000,5,348000,17400,330600,Credit_Card,Referral,Completed,High,Good_Sale
ORD100129,10/29/2025,Oct,2025,CUST12463,Unknown_customer,Jacket,Fashion,Jaipur,North,Priya_Sharma,1,4600,2,4600,92,4508,UPI,Phone_Call,Pending,Low,Good_Sale
ORD100130,9/21/2025,Sep,2025,CUST14122,Sourav_Sen,Washing_Machine,Appliances,Bengaluru,South,Arjun_Mehta,1,22900,12,22900,2748,20152,Cash,Facebook,Completed,Medium,Good_Sale
